"","housing","foodstuffs","alcohol","other","services"
"1",640,NA,147,169,196
"2",1800,NA,NA,2291,912
"3",2085,NA,725,8373,1732
"4",616,NA,NA,NA,149
"5",875,NA,NA,NA,275
"6",770,NA,196,242,NA
"7",NA,NA,284,NA,420
"8",NA,NA,94,68,NA
"9",1394,NA,393,1161,636
"10",1285,NA,363,NA,487
"11",1102,NA,243,496,NA
"12",1717,NA,452,1977,832
"13",NA,NA,424,1345,NA
"14",838,NA,155,NA,222
"15",NA,NA,211,317,280
"16",1130,NA,NA,490,386
"17",NA,NA,524,2133,NA
"18",NA,NA,NA,974,523
"19",2180,NA,NA,NA,NA
"20",1017,NA,225,419,345
