"","housing","foodstuffs","alcohol","other","services"
"1",640,NA,147,NA,196
"2",1800,484,NA,2291,912
"3",2085,445,725,8373,NA
"4",NA,331,126,NA,NA
"5",NA,368,191,290,275
"6",770,364,196,242,236
"7",990,NA,284,588,420
"8",NA,305,94,68,NA
"9",NA,440,NA,NA,636
"10",1285,374,NA,NA,487
"11",1102,469,243,496,NA
"12",1717,NA,452,1977,832
"13",NA,454,424,NA,676
"14",838,386,NA,208,222
"15",845,NA,211,317,280
"16",1130,394,271,NA,386
"17",NA,466,NA,2133,822
"18",1195,NA,NA,974,523
"19",2180,521,553,2781,NA
"20",1017,NA,225,419,NA
